Pinyin,Wade-Giles,Romatzyh,Palladiy
фангуоен,фангуоен,фаангуоенн,дун фан
фангдао,фангтао,фанкдауо,фан у
феиxинг,феихсинг,феишынг,фан цзу
феи,феи,феы,фан вэнь
феиыонг,феиыунг,феыыонк,дао фан
фенбие,фенпиех,фенбые,фэй син
фенпеи,фенпеи,фенпеы,фэй
фензу,фенцу,фентзуу,фэй юн
фенгфу,фенгфу,фенгфух,бе фэнь
фенгxиан,фенгхсиен,фенгшеан,фэнь пэй
фоудинг,фоутинг,фооудинк,фэнь цзу
фоурен,фоуйен,фооуренн,фэн фу
фужуанг,фучуанг,фуоуюанг,фэн сянь
фу,фу,фуоу,дин фоу
фуму,фуму,фухмуу,фоу жэнь
фукин,фучин,фухчин,фу чжуан
фу,фу,фух,фу
фузе,фуце,фухтзер,фу му
фуыин,фуыин,фухыинн,фу цинь
фуза,фуца,фухтзар,фу
фу,фу,фух,фу цзэ
гаийин,каичин,гаейинн,фу инь
гаизао,каицао,гаетзауо,фу цза
гаиниан,каиниен,гаынианн,фу
ган,кан,гаан,гай цзинь
гандао,кантао,гаандауо,гай цзао
ганйин,канчин,гаанйиин,гай нянь
ганкуаи,канкуаи,гаанкуаы,гань
ган,кан,гаан,дао гань
ганмао,канмао,гаанмауо,гань цзинь
ганкинг,канчинг,гаанчынг,гань куай
ганшоу,каншоу,гааншоуо,гань
ганма,канма,ганнма,гань мао
гаосу,каосу,гаусух,гань цин
гаосугонглу,каосукунглу,гаусухгонглух,гань шоу
гаобие,каопиех,гауобые,гань ма
геми,коми,геми,гао су
гешенг,кошенг,гешенг,гао гун лу су
гешоу,кошоу,гешооу,бе гао
герен,койен,гехрен,гэ ми
геxинг,кохсинг,гехшинк,гэ шэн
ге,ко,гех,гэ шоу
геди,коти,гехдих,гэ жэнь
геуоеи,коуоеи,гехуоеы,гэ син
гежонг,кочунг,гехйоонг,гэ
гези,котзу,гехтзых,ди гэ
генбен,кенпен,генбеен,гэ вэй
генгйиа,кенгчиа,генкйиа,гэ чжун
гонгчанг,кунгчанг,гонгчаанг,гэ цзы
гонгченгши,кунгченгших,гонгчернгшы,бэнь гэнь
гонгфу,кунгфу,гонгфу,гэн цзя
гонгю,кунгчу,гонгйиух,чан гун
гонгые,кунгыех,гонгыех,чэн гун ши
гонгзи,кунгтзу,гонгтзы,фу гун
гонгбу,кунгпу,гонгбух,гун цзюй
гонггонг,кунгкунг,гонггонк,гун е
гонгкаи,кунгкаи,гонгкаи,гун цзы
гонгмин,кунгмин,гонгмин,бу гун
гонгуоуыуан,кунгуоуыуан,гонгуоухыуан,гун гун
гонгфу,кунгфу,гонгфу,гун кай
гонгке,кунгко,гонгкех,гун минь
гонгненг,кунгненг,гонгненг,гун у юань
гонгтонг,кунгтунг,гонкторнг,фу гун
гонгыоу,кунгыу,гонкыеоу,гун кэ
гунианг,кунианг,гунианг,гун нэн
гу,ку,гуу,гун тун
гудаи,кутаи,гуудаы,гун ю
гуxианг,кухсианг,гухшианг,гу нян
гуа,куа,гуах,гу
гуанжу,куанчу,гуанюх,дай гу
гуанча,куанча,гуанчар,гу сян
гуанкан,куанкан,гуанканн,гуа
гуанниан,куанниен,гуаннианн,гуань чжу
гуанжонг,куанчунг,гуанйонк,ча гуань
гуан,куан,гоан,гуань кань
гуанли,куанли,гоанлии,гуань нянь
гуанг,куанг,гуанг,гуань чжун
гуангминг,куангминг,гуангминг,гуань
гуангбо,куангпо,гоангбо,гуань ли
гуангда,куангта,гоангдах,гуан
гуидинг,куеитинг,гуеидинк,гуан мин
гуифан,куеифан,гуеифанн,бо гуан
гуонеи,куонеи,гуоонеы,да гуан
гуокинг,куочинг,гуоочинк,дин гуй
гуоран,куоян,гуооран,фань гуй
гуожи,куочих,гуоойы,го нэй
гуоченг,куоченг,гуохчернг,го цин
гуоку,куочу,гуохчиух,го жань
хаха,хаха,хаха,го чжи
хаигуан,хаикуан,хаегуан,чэн го
хаипа,хаипа,хаыпах,го цюй
ханг,ханг,харнг,ха ха
хаохао,хаохао,хаохао,гуань хай
хаоки,хаочи,хауочыи,хай па
хе,хо,хер,син
хефа,хофа,херфаа,хао хао
хеге,хоко,хергер,хао ци
хели,холи,херлии,хэ
хезуо,хоцо,хертзуох,фа хэ
хепинг,хопинг,херпынг,гэ хэ
хонгча,хунгча,хорнгчар,хэ ли
хонгйиу,хунгчиу,хорнгйеоу,хэ цзо
хоугуо,хоукуо,хоуогуоо,хэ пин
хоуниан,хоуниен,хоуониан,ча хун
хулиануоанг,хулиенуоанг,хухлиануооанг,хун цзю
хуxианг,хухсианг,хухшианг,го хоу
хуачуан,хуачуан,хуоачуоан,хоу нянь
хуарен,хуайен,хуоарен,ху лянь ван
хуа,хуа,хуах,ху сян
хуаю,хуачу,хуахйиух,чуань хуа
хуати,хуати,хуахтыи,хуа жэнь
хуанле,хуанле,хуанлех,хуа
хуан,хуан,хуоан,хуа цзюй
хуанбао,хуанпао,хуоанбао,хуа ти
хуанйинг,хуанчинг,хуоанйинк,хуань лэ
хуиыи,хуии,хуеыыих,хуань
хуиыуан,хуиыуан,хуеыыуан,бао хуань
хуо,хуо,хуоо,хуань цзин
хуо,хуо,хуоо,хуэй (хой) и
йики,чичи,йичих,хуэй (хой) юань
йийи,чичи,йийыи,хо
йибен,чипен,йибеен,хо
йичу,чичу,йичуу,цзи ци
йиши,чиших,йыишыр,цзи цзи
…йиле,…йиле,…йиле,бэнь цзи
йити,чити,йыитии,чу цзи
йижонг,чичунг,йыийонг,цзи ши
йисуан,чисуан,йихсуанн,цзи лэ
йилу,чилу,йихлух,цзи ти
йиже,чиче,йихйее,цзи чжун
йилу,чилу,йихлух,цзи суань
йиниан,чиниен,йихнианн,цзи лу
йишу,чишу,йихшух,цзи чжэ
йиxу,чихсу,йихшиух,цзи лу
йиагонг,чиакунг,йиагонг,цзи нянь
йиакуаи,чиакуаи,йиакуаы,цзи чжу
йиакианг,чиачианг,йиачыанг,цзи сюй
йиаю,чиачу,йиайиух,гун цзя
йиашу,чиашу,йиашуу,цзя куай
йиаxианг,чиахсианг,йиашианг,цзя цян
йиаге,чиако,йиахгер,цзя цзюй
йиажи,чиачих,йиахйыр,цзя шу
йиа,чиа,йиах,цзя сян
йианчи,чиенчих,йианчыр,гэ цзя
йианюе,чиенчуех,йианйыуе,цзя чжи
йианкианг,чиенчианг,йианчыанг,цзя
йиандан,чиентан,йеандан,чи цзянь
йианжи,чиенчих,йеанйыр,цзянь цзюэ
йиан,чиен,йианн,цзянь цян
йианченг,чиенченг,йианнчернг,дань цзянь
йианли,чиенли,йианнлих,цзянь чжи
йианше,чиенше,йианншех,цзянь
йианыи,чиени,йианныих,чэн цзянь
йиангйин,чиангчин,йиангйинн,цзянь ли
йианглаи,чианглаи,йианглаи,цзянь шэ
йиаофеи,чиаофеи,йиауфеы,цзянь и
йиаойинг,чиаочинг,йиауйиинг,цзян цзинь
йиаолиу,чиаолиу,йиаулиоу,цзян лай
йиаоуоанг,чиаоуоанг,йиаууооанг,фэй цзяо
йиаоыи,чиаои,йиауыих,цзяо цзин
йиао,чиао,йиауо,цзяо лю
йиао,чиао,йиауо,цзяо ван
йиаоцаи,чиаоцаи,йиауоцаир,цзяо и
йиаолиан,чиаолиен,йиауолианн,цзяо
йиедаи,чиехтаи,йиедаы,цзяо
йиейин,чиехчин,йиейинн,цай цзяо
йиеыуе,чиехыуех,йыеиуе,цзяо лянь
йиехе,чиеххо,йыехер,дай цзе
йиехун,чиеххун,йыехуен,цзе цзинь
йиешу,чиехшу,йыешух,цзе юэ
йиеюе,чиехчуех,йиеейыуе,хэ цзе
йиекаи,чиехкаи,йиеекаи,хунь цзе
йин,чин,йин,цзе шу
йинпаи,чинпаи,йинпаир,цзе цзюэ
йин,чин,йиин,цзе кай
йинйин,чинчин,йиинйиин,цзинь
йинлианг,чинлианг,йиинлианк,цзинь пай
йин,чин,йиин,цзинь
йинйи,чинчи,йиинйыи,цзинь цзинь
йинжанг,чинчанг,йиинянг,цзинь лян
йинбу,чинпу,йиннбух,цзинь
йинжан,чинчан,йинняан,цзи цзинь
йинки,чинчи,йиннчи,цзинь чжан
йингю,чингчу,йингйиух,бу цзинь
йингйи,чингчи,йингйих,цзинь чжань
йингли,чингли,йинглих,цзинь ци
йингыан,чингыан,йингыанн,цзин цзюй
йингыинг,чингыинг,йингынг,цзи цзин
йингцаи,чингцаи,йингцае,цзин ли
йингшен,чингшен,йингшерн,цзин янь
йингсе,чингсе,йиингсех,цзин ин
йингча,чингча,йиингчар,цай цзин
йинг,чинг,йинк,цзин шэнь
йиу,чиу,йеоу,цзин сэ
йиу,чиу,йиоуо,ча цзин
йиу,чиу,йиоуо,цзин
йиуши,чиуших,йиоуошых,цзю
йиуые,чиуыех,йиоуоыех,цзю
юбан,чупан,йеубанн,цзю
юти,чути,йиухтии,цзю ши
юыоу,чуыу,йиухыеоу,цзю е
ючанг,чучанг,йиухчаанг,бань цзюй
юшуо,чушуо,йиухшуо,цзюй ти
юединг,чуехтинг,йыуединк,цзюй ю
юесаи,чуехсаи,йыуесаы,чан цзюй
юеxин,чуеххсин,йыуешин,цзюй шо
юедуи,чуехтуи,йыуедуеы,дин цзюэ
кафеи,кафеи,кафеи,цзюэ сай
каифа,каифа,каифа,цзюэ синь
каифанг,каифанг,каифанк,дуй цзюэ
каиши,каиших,каишыы,фэй ка
каиые,каиыех,каиыех,фа кай
каижан,каичан,каияан,фан кай
каоыан,каоыан,каоыанн,кай ши
кейи,кочи,кейих,кай е
кекао,кокао,кеекауо,кай чжань
келе,коле,кеелех,као янь
кефу,кофу,кехфуоу,цзи кэ
кегуан,кокуан,кехгуан,као кэ
кеченг,коченг,кехчернг,кэ лэ
конг,кунг,конг,фу кэ
конгтиао,кунгтиао,конгтыау,гуань кэ
конгпа,кунгпа,коонгпах,чэн кэ
конгр,кунгр,конкр,кун
кузи,кузи,кухзи,дяо кун
куаису,куаису,куаысух,кун па
кун,кун,куенн,эр кун
лангфеи,лангфеи,ланкфеы,ку цзы
лаобаиxинг,лаопаихсинг,лаобаешинк,куай су
лаобан,лаопан,лаобаан,кунь
лаотаитаи,лаотаитаи,лаотаытаи,фэй лан
лаотоур,лаотоур,лаотоурр,бай лао син
ле,ле,лех,бань лао
легуан,лекуан,лехгуан,лао тай тай
леи,леи,леы,эр лао тоу
леиси,леиссу,леысых,лэ
лихун,лихун,лихуен,гуань лэ
лимиан,лимиен,лиимианн,лэй
лифа,лифа,лиифах,лэй сы
лийие,личиех,лиийиее,хунь ли
лилун,лилун,лиилуенн,ли мянь
лиыоу,лиыу,лииыоу,фа ли
ли,ли,лих,цзе ли
лике,лико,лихкех,ли лунь
лиыонг,лиыунг,лихыонк,ли ю
лиан,лиен,лиан,ли
лианманг,лиенманг,лианманг,кэ ли
лианxу,лиенхсу,лианшиух,ли юн
лианxую,лиенхсучу,лианшиухйиух,лянь
лианхе,лиенхо,лианхер,лянь ман
лианхегуо,лиенхокуо,лианхергуоо,лянь сюй
лианxи,лиенхси,лианших,цзюй лянь сюй
лиангшуи,лиангшуи,лиангшоеи,хэ лянь
ле,ле,ле,го хэ лянь
линг,линг,лиинг,лянь си
лингдао,лингтао,лиингдао,лян шуй
лингxиан,лингхсиен,лиингшиан,лэ
лингуоаи,лингуоаи,линкуоаы,лин
лиуxуе,лиухсуех,лиоушыуе,дао лин
лонг,лунг,лонг,лин сянь
лу,лу,лух,лин вай
луыин,луыин,лухин,лю сюэ
луxиан,лухсиен,лухшианн,лун
луан,луан,луанн,лу
луохоу,лохоу,луоххоуо,лу инь
мафан,мафан,мафан,лу сянь
ма,ма,маа,луань
манзу,манцу,маантзуоу,хоу ло
манман,манман,маннманн,фань ма
мао,мао,мау,ма
маобинг,маопинг,маубинк,мань цзу
меиыонг,меиыунг,меиыонк,мань мань
меити,меити,меитии,мао
меи,меи,мееи,бин мао
меи,меи,мееи,мэй юн
меихао,меихао,мееихао,мэй ти
меили,меили,мееилих,мэй
меиши,меиших,мееишыр,мэй
меишу,меишу,мееишух,хао мэй
меиыуан,меиыуан,мееиыуан,ли мэй
ми,ми,ми,мэй ши
ми,ми,мии,мэй чжу
миандуи,миентуи,мианндуеы,мэй юань
мианйи,миенчи,мианнйи,ми
минйиан,минчиен,минйиан,ми
минзу,минцу,минтзуоу,дуй мянь
мингкуе,мингчуех,мингчиуех,цзи мянь
мингxиан,мингхсиен,мингшеан,цзянь минь
мингыун,мингыун,минкыунн,минь цзу
моу,моу,мооу,мин цюэ
мукин,мучин,муучин,мин сянь
мутоу,мутоу,мухтоу,мин юнь
мубиао,мупиао,мухбиау,моу
мукиан,мучиен,мухчыан,му цинь
наича,наича,наечар,му тоу
нанзи,нантзу,нантзыы,бяо му
нанбу,нанпу,нанбух,му цянь
нандао,нантао,нандауо,ча най
нанду,нанту,нандух,цзы
неи,неи,неы,бу
неиронг,неиюнг,неыронг,дао
неиxин,неихсин,неышин,ду
ненгбуненг,ненгбуненг,ненгбуненг,нэй
ненгли,ненгли,ненглих,нэй жун
нианчу,ниенчу,нианчу,нэй синь
ниандаи,ниентаи,ниандаы,бу нэн нэн
нианди,ниенти,ниандии,ли нэн
нианйи,ниенчи,нианйих,чу нянь
ниан,ниен,нианн,дай нянь
ниу,ниу,ниоу,ди нянь
нонгцун,нунгцун,нонгцуен,цзи нянь
нонгмин,нунгмин,нонгмин,нянь
нонгые,нунгыех,нонгыех,ню
нуанхуо,нуанхуо,ноанхуо,цунь нун
па,па,пах,минь нун
паи,паи,паи,нун е
паи,паи,паир,хэ нуань
паиминг,паиминг,паирминг,па
паизи,паизи,паирзи,пай
паи,паи,паы,пай
пандуан,пантуан,панндуанн,мин пай
паобу,паопу,паобух,пай цзы
пеи,пеи,пеы,пай
пеихе,пеихо,пеыхер,дуань пань
пипинг,пипинг,пипынг,бу пао
пижун,пичун,пийоен,пэй
пи,пи,пыи,хэ пэй
пибао,пипао,пыибау,пи пин
пийиу,пичиу,пыийеоу,пи чжунь
пиаойиа,пиаочиа,пиауойиах,пи
пингйиа,пингчиа,пынгйиах,бао пи
пинггуо,пингкуо,пынггуоо,цзю пи
по,по,пох,цзя пяо
похуаи,похуаи,поххуаы,цзя пин
пубиан,пупиен,пуубианн,го пин
пуйи,пучи,пууйыи,по
ки,чи,чи,хуай по
ки,чи,чыи,бянь пу
кици,читзу,чыицых,цзи пу
киши,чиших,чыишыр,ци
кигуаи,чикуаи,чыигуаы,ци
кихоу,чихоу,чиххоуо,цы ци
киануоан,чиенуоан,чиануоанн,ци ши
кианхоу,чиенхоу,чыанхоуо,гуай ци
кианйин,чиенчин,чыанйинн,хоу ци
кианмиан,чиенмиен,чыанмианн,цянь вань
киануоанг,чиенуоанг,чыануооанг,хоу цянь
кианг,чианг,чыанг,цзинь цянь
киангда,чиангта,чыангдах,мянь цянь
киангдиао,чиангтиао,чыангдиауо,цянь ван
кианглие,чианглиех,чыанглиех,цян
киао,чиао,чыау,да цян
киао,чиао,чеау,дяо цян
кин,чин,чин,ле цян
кинкие,чинчиех,чинчиех,цяо
кинрен,чинйен,чинрен,цяо
кинзи,чинтзу,чинтзых,цинь
кингган,чингкан,чынггаан,це цинь
кингкуанг,чингкуанг,чынгкуанк,цинь жэнь
кингйиао,чингчиао,чиингйиауо,цинь цзы
кингжу,чингчу,чинкюх,гань цин
киуми,чиуми,чыоуми,куан цин
ку,чу,чиу,цзяо цин
кубие,чупиех,чиубые,цин чжу
куxиао,чухсиао,чеушиау,ми цю
куши,чуших,чиухшых,цюй
куанчанг,чуанчанг,чыуанчаанг,бе цюй
куанмиан,чуанмиен,чыуанмианн,цюй сяо
куанкиу,чуанчиу,чыуанчыоу,цюй ши
куе,чуех,чиуе,чан цюань
куедиан,чуехтиен,чиуедеан,мянь цюань
куешао,чуехшао,чиуешао,цю цюань
куебао,чуехпао,чиуехбао,цюэ
куединг,чуехтинг,чиуехдинк,дянь цюэ
куеши,чуехших,чиуехшыр,цюэ шао
кунзи,чунзи,чыунзи,бао цюэ
кун,чун,чыун,дин цюэ
ре’аи,йеаи,рехаы,цюэ ши
релие,йелиех,рехлиех,цюнь цзы
ренцаи,йенцаи,ренцаир,цюнь
ренгонг,йенкунг,ренгонг,ай жэ
ренлеи,йенлеи,ренлеы,ле жэ
ренмин,йенмин,ренмин,цай жэнь
ренминби,йенминпи,ренминбих,гун жэнь
ренкун,йенчун,ренчыун,лэй жэнь
реншенг,йеншенг,реншенг,минь жэнь
реныуан,йеныуан,реныуан,би минь жэнь
ренчу,йенчу,реннчу,цюнь жэнь
ренке,йенко,реннкее,жэнь шэн
рен,йен,ренн,жэнь юань
рен,йен,ренн,чу жэнь
ренхе,йенхо,реннхер,кэ жэнь
ренуоу,йенуоу,реннуоу,жэнь
ренг,йенг,ренг,жэнь
ренгран,йенгян,ренгран,хэ жэнь
ричанг,йихчанг,рыхчарнг,жэнь у
ронгыи,юнги,ронгыих,жэн
рухе,юхо,рухер,жань жэн
санбу,санпу,саннбух,чан жи
шафа,шафа,шафа,жун и
шази,шази,шази,хэ жу
шанг,шанг,шанг,бу сань
шангxин,шангхсин,шангшин,фа ша
шангпин,шангпин,шангпиин,ша цзы
шангые,шангыех,шангыех,шан
шанглаи,шанглаи,шанклаи,шан синь
шангмиан,шангмиен,шанкмианн,пинь шан
шангку,шангчу,шанкчиух,шан е
шангшенг,шангшенг,шанкшенг,лай шан
шангыи,шанги,шанки,мянь шан
шебеи,шепеи,шехбеы,цюй шан
шейи,шечи,шехйих,шан шэн
шели,шели,шехлих,шан и
шехуи,шехуи,шеххуеы,бэй шэ
шенфенженг,шенфенченг,шенфеннйенк,цзи шэ
шен,шен,шен,ли шэ
шенке,шенко,шенкех,хуэй (хой) шэ
шенру,шеню,шенрух,фэнь шэнь чжэн
шенг,шенг,шенг,шэнь
шенг,шенг,шенг,кэ шэнь
шенгчан,шенгчан,шенгчаан,жу шэнь
шенгцун,шенгцун,шенгцуоен,шэн
шенгдонг,шенгтунг,шенгдонк,шэн
шенгминг,шенгминг,шенгминк,чань шэн
шенгжанг,шенгчанг,шенгяанг,цунь шэн
шенгминг,шенгминг,шенгминг,дун шэн
шенг,шенг,шенк,мин шэн
шенгли,шенгли,шенклих,чан шэн
шику,шихчу,шычиух,мин шэн
шитоу,шихтоу,шыртоу,шэн
шиыоу,шихыу,шырыоу,ли шэн
ши,ших,шыр,цюй ши
шидаи,шихтаи,шырдаы,ши тоу
шике,шихко,шыркех,ши ю
шийишанг,шихчишанг,шырйихшанк,ши
шили,шихли,шырлих,дай ши
шиxинг,шиххсинг,шыршынг,кэ ши
шиыан,шихыан,шырыанн,цзи шан ши
шиыанши,шихыанших,шырыанншых,ли ши
шипин,шихпин,шырпиин,ши син
ши,ших,шыы,ши янь
шижонг,шихчунг,шыыйонг,ши ши янь
шийи,шихчи,шыхйих,пинь ши
шийие,шихчиех,шыхйиех,ши
шийиебеи,шихчиехпеи,шыхйиехбеи,ши чжун
шичанг,шихчанг,шыхчаанг,цзи ши
шигу,шихку,шыхгух,цзе ши
шийиан,шихчиен,шыхйианн,бэй цзе ши
шиши,шихших,шыхшыр,чан ши
шишишанг,шихшихшанг,шыхшыршанк,гу ши
шиые,шихыех,шыхыех,цзянь ши
шити,шихти,шыхтыи,ши ши
шиыан,шихыан,шыхыанн,шан ши ши
шихе,шиххо,шыххер,ши е
шиыинг,шихыинг,шыхыинк,ши ти
шиыонг,шихыунг,шыхыонк,ши янь
ши,ших,шых,хэ ши
шоуфеи,шоуфеи,шоуфеы,ши ин
шоукан,шоукан,шоуканн,ши юн
шоутинг,шоутинг,шоутинг,ши
шоуыинйи,шоуыинчи,шоуинйи,фэй шоу
шоуxу,шоухсу,шооушиух,кань шоу
шоужи,шоучих,шооуйыы,шоу тин
шоуду,шоуту,шооуду,цзи шоу инь
шоуxиан,шоухсиен,шооушиан,шоу сюй
шоу,шоу,шоуо,шоу чжи
шоушанг,шоушанг,шоуошанг,ду шоу
шуйиа,шучиа,шуйиах,шоу сянь
шу,шу,шу,шоу
шуру,шую,шурух,шан шоу
шурен,шуйен,шуоурен,цзя шу
шу,шу,шуу,шу
шуыу,шуыу,шууыу,жу шу
шу,шу,шух,жэнь шу
шулианг,шулианг,шухлианк,шу
шуанг,шуанг,шуанг,шу юй
шуангфанг,шуангфанг,шуангфанг,шу
сиxианг,ссухсианг,сышеанг,лян шу
си,ссу,сыы,шуан
суду,суту,сухдух,фан шуан
суи,суи,суоеи,сы сян
суо,со,суоо,сы
таи,таи,таир,ду су
тан,тан,тарн,суй
танхуа,танхуа,тарнхуах,со
танпан,танпан,тарнпанн,тай
танг,танг,танг,тань
танг,танг,тарнг,хуа тань
тесе,тесе,техсех,пань тань
тикиан,тичиен,тыичыан,тан
тиуоен,тиуоен,тыиуоенн,тан
тиму,тиму,тыимух,сэ тэ
тихуи,тихуи,тиихуеы,цянь ти
тиxиан,тихсиен,тиишианн,ти вэнь
тиыан,тиыан,тииыанн,му ти
тианконг,тиенкунг,тианконг,хуэй (хой) ти
тиан,тиен,тыан,ти сянь
тиао,тиао,тыау,ти янь
тиаоженг,тиаоченг,тыауйеенг,кун тянь
тиао,тиао,тиауо,тянь
тиаогао,тиаокао,тиауогау,дяо
тиаоуоу,тиаоуоу,тиауоуоуу,дяо чжэн
тиаоыуан,тиаоыуан,тиауоыеуан,тяо
тие,тиех,тиее,гао тяо
тиелу,тиехлу,тиеелух,тяо у
тингли,тингли,тинглих,тяо юань
тингжонг,тингчунг,тингйонк,те
тингжи,тингчих,тынгйыы,лу те
тонгчанг,тунгчанг,тонгчарнг,ли тин
тонгxин,тунгхсин,тонгшинн,тин чжун
тонгыи,тунги,торнгыих,тин чжи
тонг,тунг,тонк,чан тун
тонгку,тунгку,тонккуу,тун синь
тоу,тоу,тоур,тун и
тоунао,тоунао,тоурнао,тун
тучу,тучу,тучу,ку тун
туран,туян,туран,тоу
ту,ту,туоу,нао тоу
тухуа,тухуа,туоухуах,чу ту
ту,ту,туу,жань ту
туан,туан,туоан,ту
туанйие,туанчиех,туоанйые,хуа ту
туанти,туанти,туоантии,ту
туидонг,туитунг,туеидонк,туань
туигуанг,туикуанг,туеигоанг,цзе туань
туийин,туичин,туеийинн,ти туань
туикаи,туикаи,туеикаи,дун туй
туи,туи,туеы,гуан туй
туичу,туичу,туеычу,цзинь туй
туиxиу,туихсиу,туеышиоу,кай туй
уоаийиао,уоаичиао,уоаыйиау,туй
уоаимиан,уоаимиен,уоаымианн,чу туй
уоаиуоен,уоаиуоен,уоаыуоен,туй сю
уоанмеи,уоанмеи,уоанмееи,цзяо вай
уоаншан,уоаншан,уоаншанн,мянь вай
уоанженг,уоанченг,уоанйеенг,вай вэнь
уоаню,уоанчу,уоанйиух,мэй вань
уоангуоанг,уоангуоанг,уооангуооанг,шань вань
уоеихаи,уоеихаи,уеихаы,вань чжэн
уоеиxиан,уоеихсиен,уеишеан,цзюй вань
уоеи,уоеи,уоеи,ван ван
уоеи,уоеи,уоеы,хай вэй
уоеи,уоеи,уоеи,вэй сянь
уоеида,уоеита,уооеидах,вэй
уоеишенг,уоеишенг,уоеышенг,вэй
уоеишенгйиан,уоеишенгчиен,уоеышенгйиан,вэй
уоеиле,уоеиле,уоеыле,да вэй
уоеннуан,уоеннуан,уенноан,шэн вэй
уоенхуа,уоенхуа,уоенхуах,цзянь шэн вэй
уоенйиан,уоенчиен,уоенйианн,лэ вэй
уоенминг,уоенминг,уоенминг,нуань вэнь
уоенxуе,уоенхсуех,уоеншыуе,хуа вэнь
уоенжанг,уоенчанг,уоенянг,цзянь вэнь
уоензи,уоентзу,уоентзых,мин вэнь
уоошоу,уоошоу,уоохшооу,вэнь сюэ
уоузи,уоузи,узи,вэнь чжан
уоуки,уоучи,уоуучих,вэнь цзы
уоушу,уоушу,уоуушух,шоу во
уоутаи,уоутаи,уоуутаир,у цзы
xибу,хсипу,шибух,ци у
xиуоанг,хсиуоанг,шиуоанк,у чжу
xи,хси,ших,тай у
xиамиан,хсиамиен,шиахмианн,бу си
xиаку,хсиачу,шиахчиух,ван си
xианйин,хсиенчин,шианйинн,си
xианде,хсиенде,шеанде,мянь ся
xианран,хсиенян,шеанран,цюй ся
xианши,хсиенших,шеаншых,цзинь сянь
xианчанг,хсиенчанг,шианнчаанг,дэ сянь
xиандаи,хсиентаи,шианндаы,жань сянь
xианйин,хсиенчин,шианнйин,ши сянь
xианши,хсиенших,шианншыр,чан сянь
xианxианг,хсиенхсианг,шианншианк,дай сянь
xиан,хсиен,шианн,цзинь сянь
xиангби,хсиангпи,шиангбии,ши сянь
xиангданг,хсиангтанг,шиангданг,сянь сян
xианггуан,хсиангкуан,шианггуан,сянь
xиангху,хсиангху,шиангхух,би сян
xиангси,хсиангссу,шиангсых,дан сян
xианг,хсианг,шианг,гуань сян
xиангйиао,хсиангчиао,шиангйиау,ху сян
xиаофеи,хсиаофеи,шиауфеы,сы сян
xиаоши,хсиаоших,шиаушы,сян
xиаоxи,хсиаоxи,шиауxи,цзяо сян
xиаогуо,хсиаокуо,шиауогуоо,фэй сяо
xиезуо,хсиехцо,шиеетзуох,ши сяо
xуе,хсуех,шиуех,си сяо
xин,хсин,шин,го сяо
xин,хсин,шинн,се цзо
xинфенг,хсинфенг,шиннфенг,се
xинрен,хсинйен,шиннренн,синь
xингченг,хсингченг,шынгчернг,синь
xингши,хсингших,шынгшых,фэн синь
xингxианг,хсингхсианг,шынгшианк,жэнь синь
xингжуанг,хсингчуанг,шынгюанк,чэн син
xингфу,хсингфу,шинкфуоу,ши син
xингыун,хсингыун,шинкыунн,сян син
xинг,хсинг,шинк,син чжуан
xингбие,хсингпиех,шинкбые,фу син
xингге,хсингко,шинкгер,син юнь
xиу,хсиу,шиоу,син
xиугаи,хсиукаи,шиоугае,бе син
xукиу,хсучиу,шиучыоу,гэ син
xуыао,хсуыао,шиуыауо,сю
xуанбу,хсуанпу,шиуанбух,гай сю
xуанчуан,хсуанчуан,шиуанчуоан,цю сюй
xуаншоу,хсуаншоу,шеуаншооу,сюй яо
xуефеи,хсуехфеи,шыуефеы,бу сюань
xунлиан,хсунлиен,шиуннлианн,чуань сюань
ыа,ыа,иа,шоу сюань
ыали,ыали,иалих,фэй сюэ
ыан,ыан,иан,лянь сюнь
ыанкиан,ыанчиен,ыеанчыан,я
ыан,ыан,ыеан,ли я
ыанчанг,ыанчанг,ыеанчанк,янь
ыанчангхуи,ыанчангхуи,ыеанчанкхуеы,цянь янь
ыанчу,ыанчу,ыеанчу,янь
ыаныуан,ыаныуан,ыеаныуан,чан янь
ыанг,ыанг,ыанг,чан хуэй (хой) янь
ыанггуанг,ыангкуанг,ыанггуанг,чу янь
ыаоши,ыаоши,ыауоши,янь юань
ыийиа,ичиа,ийиах,ян
ыи,и,ыии,гуан ян
ыилаи,илаи,ыиилаи,ши яо
ыишу,ишу,ыихшух,цзя и
ыиуоаи,иуоаи,ыихуоаы,и
ыиыи,ии,ыихыих,лай и
ыинци,ыинтзу,инцыы,и чжу
ыин,ыин,ын,вай и
ыинпаи,ыинпаи,ынпаир,и и
ыинxианг,ыинхсианг,ыинншианк,цы инь
ыингданг,ыингтанг,ингданг,инь
ыингйие,ыингчиех,ынгйие,пай инь
ыингыанг,ыингыанг,ынгыеанг,сян инь
ыинг,ыинг,ынг,дан ин
ыингши,ыингших,ыиингшых,цзе ин
ыингыонг,ыингыунг,ыинкыонк,ян ин
ыоудиан,ыутиен,иоудеан,ин
ыоуши,ыуших,иоушых,ши ин
ыоу,ыу,ыоу,ин юн
ыоуыу,ыуыу,ыоуыу,дянь ю
ыоуйиан,ыучиен,ыоуйианн,ши ю
ыоупиао,ыупиао,ыоупиауо,ю
ыоуxианг,ыухсианг,ыоушианг,ю юй
